Lemma	Semantiskâ_kat_1	Kandidâts	Semantiskâ_kat_2	Paskaidrojums	Bieþums	Tips	Grupa	Manuâla pârbaude		Kopâ	
veikt	Darît	veikums	Rezultâts	piedçkïa -um- un galotnes -s pievienoðana lemmai 'veikt'	8126	T	V	T		Derîgi derivâti	30
veikt	Darît	veice	Rezultâts	galotnes -e pievienoðana saknei 'veic-'	24	T	V	T		Nederîgi derivâti	26
veikt	Darît	veiktais	Rezultâts	cieðamâs kârtas pagâtnes divdabja izmantoðana substantîva lomâ	2062	T	V	T		Precizitâte	0,536
veikt	Darît	izveikums	Rezultâts	priedçkïa iz- un piedçkïa -um- pievienoðana lemmai 'veikt'	0	F	V	T			
veikt	Darît	paveikums	Rezultâts	priedçkïa pa- un piedçkïa -um- pievienoðana lemmai 'veikt'	7	T	V	T		V	
zvaigzne	Priekðmets	zvaigznâjs	Ietver nosaukto	"Atvasinâjums izveidots no celma ""zvaigzn-"" ar piedçkli ""-âjs"", kas norâda uz vietu, kur atrodas nosauktais objekts"	2804	T	V	F		Derîgi derivâti	11
zvaigzne	Priekðmets	zvaigznîba	Ietver nosaukto	"Atvasinâjums izveidots ar piedçkli ""-îba"", kas veido abstraktu kopumu vai sistçmu"	0	F	V	F		Nederîgi derivâti	8
zvaigzne	Priekðmets	zvaigznojums	Ietver nosaukto	"Atvasinâjums izveidots ar piedçkli ""-ojums"", kas apzîmç rezultâtu vai kopumu"	0	F	V	F		Precizitâte	0,579
pûst	Bût procesâ	pûðana	Process	Verbam 'pûst' pievieno piedçkli '-ðan-' un galotni '-a', iegûstot lietvârdu, kas apzîmç procesu	974	T	V	T			
pûst	Bût procesâ	pûsma	Process	Verbam 'pûst' pievieno piedçkli '-sm-' un galotni '-a', iegûstot lietvârdu	235	T	V	F		I	
pûst	Bût procesâ	pûtiens	Process	Verbam 'pûst' pievieno piedçkli '-tien-' un galotni '-s', iegûstot lietvârdu, kas apzîmç vienreizçju darbîbu	450	T	V	F		Derîgi derivâti	6
riebt	Bût stâvoklî	riebums	Stâvoklis	Atvasinâjums izveidots no darbîbas vârda 'riebt' saknes 'rieb-', pievienojot piedçkli '-um' un galotni '-s', lai iegûtu lietvârdu ar stâvokïa nozîmi.	1998	T	V	T		Nederîgi derivâti	6
riebt	Bût stâvoklî	riebîgums	Stâvoklis	Atvasinâjums izveidots no darbîbas vârda 'riebt' saknes, pievienojot piedçkli '-îg' (kas veido îpaðîbas vârdu 'riebîgs') un tâlâk piedçkli '-um' ar galotni '-s', lai iegûtu lietvârdu ar stâvokïa nozîmi.	33	T	V	T		Precizitâte	0,500
riebt	Bût stâvoklî	riebîba	Stâvoklis	Atvasinâjums izveidots no darbîbas vârda 'riebt' saknes 'rieb-', pievienojot piedçkli '-îb' un galotni '-a', lai iegûtu lietvârdu ar stâvokïa nozîmi.	0	F	V	F			
