Lemma	Semantiskâ_kat_1	Kandidâts	Semantiskâ_kat_2	Paskaidrojums	Bieþums	Tips	Grupa	Manuâla pârbaude		Kopâ	
veikt	Darît	veikums	Rezultâts	Pielikta sufiksâcija ar -ums (no darbîbas vârda 'veikt' tiek iegûts lietvârds ar rezultâta nozîmi).	8126	T	V	T		Derîgi derivâti	18
veikt	Darît	veikums	Rezultâts	Vârda saknes 'veik-' izmantoðana un sufiksa -ums pievienoðana, lai izteiktu rezultâtu.	8126	T	V	D		Nederîgi derivâti	9
zvaigzne	Priekðmets	zvaigþòots	Ietver nosaukto	Papildinâta ar sufiksu -òots, lai norâdîtu uz to, kas ietver zvaigznes.	1110	T	V	T		Precizitâte	0,667
pûst	Bût procesâ	pûðana	Process	Pievieno sufiksu -ðana pie darbîbas vârda saknes 'pû-'	974	T	V	T			
pûst	Bût procesâ	pûstums	Process	Pievieno sufiksu -ums pie darbîbas vârda saknes 'pû-'	0	F	V	F		V	
riebt	Bût stâvoklî	rieba	Stâvoklis	infinitîva vietâ lietots formâlais lietvârds ar sufiksu -a, lai apzîmçtu stâvokli	34	T	V	F		Derîgi derivâti	7
riebt	Bût stâvoklî	riebums	Stâvoklis	pievienots sufikss -ums darbîbas vârda saknei, lai izteiktu stâvokli	1998	T	V	T		Nederîgi derivâti	2
medicîna	Abstrakts nojçgums	medicînisks	Saistîts ar nosaukto	Nominale termina 'medicîna' galotni '-a' aizstâj ar adjektîva sufiksu '-isks'.	16946	T	V	T		Precizitâte	0,778
medicîna	Abstrakts nojçgums	medicîniska	Saistîts ar nosaukto	Nominale termina 'medicîna' galotni '-a' aizstâj ar adjektîva sufiksu '-isks' un pielâgo dzimtei.	886	T	V	D			
skriet	Darît	skrçjçjs	Darîtâjs (dzîvs)	Pieliekot verbam 'skriet' atvasinâjuma sufiksu '-çj-' un galotni '-s', rodas lietvârds, kas apzîmç personu, kas skrien.	7774	T	V	T		I	
ideja	Abstrakts nojçgums	idejisks	Saistîts ar nosaukto	no lemmas 'ideja' pievienota sufiksa daïa '-isks', pârveidojot galotni '-a' uz '-isks', lai izveidotu îpaðîbas vârdu ar nozîmi 'saistîts ar ideju'	1323	T	V	T		Derîgi derivâti	3
nest	Darît	nçðana	Darbîba	"Verba saknei ""nest"" pievienota sufiksâcija ""-çðana"", lai izveidotu lietvârdu, kas apzîmç darbîbas procesu."	2	M	I	F		Nederîgi derivâti	2
iet	Bût procesâ	ieðana	Process	Pievienoðanas process ir sufiksa '-ðana' pievienoðana verbam 'iet' tagadnes treðâs personas formâ 'iet', atmetot galotni un iegûstot lietvârdu, kas apzîmç darbîbas procesu.	5770	T	I	T		Precizitâte	0,600
